time,x,y,z,side
1757572904826,1.64982,1.54941,-0.0995429,LEFT
1757572904826,2.84526,1.52549,-0.111183,LEFT
1757572904826,1.68774,-0.754789,-0.231217,RIGHT
1757572904826,1.94108,-1.50221,-0.127969,RIGHT
1757572904829,0.827513,2.41423,-0.0464583,LEFT
1757572904829,1.68587,-0.755911,-0.082588,LEFT
1757572904829,1.64295,1.51923,-0.0938729,RIGHT
1757572904829,2.63898,-1.03274,-0.0972808,RIGHT
1757572904845,0.0631178,2.35372,-0.0426455,LEFT
1757572904845,0.805386,2.42153,-0.00122017,LEFT
1757572904845,1.69489,-0.761988,-0.227301,LEFT
1757572904845,-1.18219,-0.131199,0.117057,RIGHT
1757572904845,1.64646,1.55002,-0.103171,RIGHT
1757572904845,1.90036,-1.49989,0.0650232,RIGHT
1757572904945,0.83341,2.41484,-0.0453622,LEFT
1757572904945,1.68957,-0.756651,-0.231162,LEFT
1757572904945,2.86482,1.54016,-0.11077,LEFT
1757572904945,1.64355,1.53347,-0.0968553,RIGHT
1757572904945,1.9339,-1.49754,-0.0628212,RIGHT
1757572904945,2.65235,-1.03277,-0.0979075,RIGHT
1757572905046,0.806177,2.41878,-0.00152522,LEFT
1757572905046,1.6949,-0.759708,-0.0811256,LEFT
1757572905046,1.64619,1.51589,-0.0931574,RIGHT
1757572905046,1.94048,-1.50288,-0.127439,RIGHT
1757572905146,0.0622728,2.36141,0.0172055,LEFT
1757572905146,1.65398,-0.793262,-0.224599,LEFT
1757572905146,2.8517,1.53044,-0.110298,LEFT
1757572905146,1.64107,1.54949,-0.0746495,RIGHT
1757572905146,1.95901,-1.53651,-0.133294,RIGHT
1757572905146,2.61982,-1.02757,-0.0979545,RIGHT
1757572905248,0.837436,2.42827,-0.0449547,LEFT
1757572905248,1.70544,-0.758732,-0.229723,LEFT
1757572905248,2.85165,1.51969,-0.111609,LEFT
1757572905248,1.65379,1.52277,-0.0972399,RIGHT
1757572905248,1.90043,-1.50229,0.0642523,RIGHT
1757572905248,2.65492,-1.03315,-0.0979417,RIGHT
1757572905349,0.81587,2.43575,7.45058e-09,LEFT
1757572905349,1.69145,-0.756824,-0.225521,LEFT
1757572905349,2.84749,1.51263,-0.110851,LEFT
1757572905349,1.68412,1.52502,-0.102844,RIGHT
1757572905349,1.90201,-1.50015,-0.0664798,RIGHT
1757572905349,2.63615,-1.03276,-0.0972566,RIGHT
1757572905449,0.839461,2.43608,-0.0474694,LEFT
1757572905449,1.68451,1.51766,-0.103032,LEFT
1757572905449,2.65759,-1.0328,-0.0971624,LEFT
1757572905449,-1.19542,-0.13061,0.114812,RIGHT
1757572905449,1.70831,-0.755577,-0.227199,RIGHT
1757572905449,1.90082,-1.49881,0.0667538,RIGHT
1757572905550,0.834674,2.43084,-0.0460151,LEFT
1757572905550,1.69359,-0.754681,-0.228723,LEFT
1757572905550,1.64449,1.52025,-0.0935496,RIGHT
1757572905550,2.6157,-1.03277,-0.0980417,RIGHT
1757572905651,0.828237,2.42493,-0.0466858,LEFT
1757572905651,1.65557,-0.791182,-0.230198,LEFT
1757572905651,2.8472,1.52518,-0.110856,LEFT
1757572905651,1.64678,1.54266,-0.103054,RIGHT
1757572905651,1.94461,-1.54303,-0.128066,RIGHT
1757572905651,2.62803,-1.02751,-0.0977962,RIGHT
1757572905792,0.826573,2.4193,-0.0463726,LEFT
1757572905792,1.64243,1.53025,-0.0938571,LEFT
1757572905792,2.88086,1.52347,-0.108959,LEFT
1757572905792,-1.19853,-0.14421,0.116759,RIGHT
1757572905792,1.70007,-0.761461,-0.0809471,RIGHT
1757572905792,1.94269,-1.50097,-0.128177,RIGHT
1757572905896,0.846383,2.43287,-0.045597,LEFT
1757572905896,1.6518,1.51706,-0.0926842,LEFT
1757572905896,-1.17938,-0.130477,0.106037,RIGHT
1757572905896,1.69117,-0.756239,-0.227139,RIGHT
1757572905994,0.846025,2.42148,-0.0480433,LEFT
1757572905994,2.85012,1.52779,-0.110664,LEFT
1757572905994,1.64722,1.54457,-0.0814477,RIGHT
1757572905994,1.65391,-0.759083,-0.0810992,RIGHT
1757572906098,0.908343,2.05844,0.0551807,LEFT
1757572906098,1.644,1.52303,-0.0943662,LEFT
1757572906098,2.84836,1.5274,-0.110129,LEFT
1757572906098,-1.16731,-0.130583,0.114854,RIGHT
1757572906098,1.66152,-0.767677,-0.0806889,RIGHT
1757572906098,1.90604,-1.50028,-0.127676,RIGHT
1757572906200,0.833915,2.43517,-0.0463549,LEFT
1757572906200,1.6548,-0.758215,-0.225837,LEFT
1757572906200,1.6448,1.5513,-0.08857,RIGHT
1757572906200,2.61153,-1.03022,-0.097527,RIGHT
1757572906338,0.80463,2.40812,-0.00034862,LEFT
1757572906338,1.65744,-0.786239,-0.0814052,LEFT
1757572906338,2.84672,1.52259,-0.112053,LEFT
1757572906338,1.64694,1.55011,-0.07435,RIGHT
1757572906338,1.8655,-1.49905,-0.126963,RIGHT
1757572906338,2.64797,-1.02727,-0.101135,RIGHT
1757572906401,0.834589,2.42456,-0.045292,LEFT
1757572906401,1.69328,-0.759448,-0.227962,LEFT
1757572906401,2.84588,1.51512,-0.110773,LEFT
1757572906401,1.64653,1.52238,-0.0953659,RIGHT
1757572906401,1.8994,-1.49894,0.0634804,RIGHT
1757572906401,2.65477,-1.03091,-0.0974228,RIGHT
1757572906498,1.64704,1.52301,-0.0985601,LEFT
1757572906498,1.69427,-0.756458,-0.228101,LEFT
1757572906498,2.84789,1.51398,-0.111017,LEFT
1757572906498,-1.18035,-0.130693,0.120139,RIGHT
1757572906498,1.91806,-1.53575,-0.135597,RIGHT
1757572906498,2.64355,-1.03232,-0.0976238,RIGHT
1757572906596,1.68544,1.51924,-0.0928891,LEFT
1757572906596,2.61139,-1.04812,-0.0970519,LEFT
1757572906596,1.65306,-0.758058,-0.0855679,RIGHT
1757572906596,1.8662,-1.49969,-0.0638309,RIGHT
1757572906702,0.83691,2.43911,-0.0460158,LEFT
1757572906702,1.69319,-0.759412,-0.0822826,LEFT
1757572906702,1.68503,1.52438,-0.102967,RIGHT
1757572906702,2.61734,-1.0299,-0.0975445,RIGHT
1757572906801,0.833632,2.43236,-0.0479406,LEFT
1757572906801,1.70856,-0.757376,-0.0804729,LEFT
1757572906801,1.65186,1.51891,-0.0971953,RIGHT
1757572906801,2.65048,-1.03241,-0.0972877,RIGHT
1757572906903,0.815255,2.42437,-0.000610091,LEFT
1757572906903,1.68932,-0.762643,-0.0846164,LEFT
1757572906903,1.64766,1.54495,-0.10291,RIGHT
1757572906903,1.93158,-1.49786,-0.0633837,RIGHT
1757572907003,0.832116,2.43611,-0.045727,LEFT
1757572907003,1.70835,-0.761762,-0.225635,LEFT
1757572907003,2.84517,1.52456,-0.109567,LEFT
1757572907003,1.64464,1.53685,-0.0972971,RIGHT
1757572907003,1.90465,-1.50117,-0.128602,RIGHT
1757572907003,2.61427,-1.03364,-0.0981236,RIGHT
1757572907104,0.835166,2.42733,-0.0464332,LEFT
1757572907104,1.6939,-0.758221,-0.227551,LEFT
1757572907104,2.84702,1.5131,-0.168053,LEFT
1757572907104,1.64881,1.51461,-0.0859881,RIGHT
1757572907104,1.90085,-1.50206,-0.126273,RIGHT
1757572907104,2.66046,-1.0318,-0.0973601,RIGHT
1757572907205,1.64446,1.52163,-0.0745802,LEFT
1757572907205,2.65294,-1.02991,-0.102015,LEFT
1757572907205,1.65502,-0.760431,-0.0811108,RIGHT
1757572907205,1.9017,-1.50115,-0.066675,RIGHT
1757572907302,1.64553,1.52968,-0.0746495,LEFT
1757572907302,1.65901,-0.769718,-0.227527,LEFT
1757572907302,-1.19287,-0.139728,0.115728,RIGHT
1757572907302,2.64892,-1.03057,-0.101092,RIGHT
1757572907402,0.839,2.43279,-0.0463549,LEFT
1757572907402,1.64765,1.50948,-0.0726247,LEFT
1757572907402,2.84849,1.51503,-0.110868,LEFT
1757572907402,-1.19158,-0.142273,0.107421,RIGHT
1757572907402,1.656,-0.760166,-0.229606,RIGHT
1757572907402,1.89797,-1.49916,-0.0648492,RIGHT
1757572907508,0.827511,2.40443,-0.135756,LEFT
1757572907508,1.65602,-0.756493,-0.224017,LEFT
1757572907508,1.65009,1.51577,-0.0965783,RIGHT
1757572907508,2.61007,-1.03407,-0.0976432,RIGHT
1757572907610,0.816782,2.43551,-0.000784397,LEFT
1757572907610,1.69567,-0.756622,-0.0819103,LEFT
1757572907610,1.68551,1.51323,-0.0907751,RIGHT
1757572907610,2.61535,-1.0335,-0.0970962,RIGHT
1757572907705,0.800873,2.40107,-0.000653662,LEFT
1757572907705,1.69032,-0.759475,-0.228213,LEFT
1757572907705,2.85913,1.51456,-0.112261,LEFT
1757572907705,1.64656,1.51942,-0.074493,RIGHT
1757572907705,1.93897,-1.49993,-0.0634035,RIGHT
1757572907705,2.61904,-1.02911,-0.0974749,RIGHT
1757572907805,0.828242,2.41986,-0.0473992,LEFT
1757572907805,1.64455,1.54374,-0.0987254,LEFT
1757572907805,2.84553,1.52641,-0.110468,LEFT
1757572907805,-1.14689,-0.130376,0.120946,RIGHT
1757572907805,1.65344,-0.754804,-0.227628,RIGHT
1757572907805,1.93369,-1.53046,-0.0703173,RIGHT
1757572907905,0.832152,2.41189,-0.136523,LEFT
1757572907905,2.85392,1.54094,-0.109955,LEFT
1757572907905,1.64212,1.52916,-0.0957292,RIGHT
1757572907905,1.69339,-0.766101,-0.0821592,RIGHT
1757572908015,1.64599,1.51502,-0.0903511,LEFT
1757572908015,2.84513,1.5213,-0.110251,LEFT
1757572908015,1.69496,-0.768092,-0.0806125,RIGHT
1757572908015,2.61854,-1.02982,-0.0978764,RIGHT
1757572908115,0.826189,2.43106,-0.0451014,LEFT
1757572908115,1.64699,1.54317,-0.108082,LEFT
1757572908115,2.84877,1.51544,-0.224369,LEFT
1757572908115,-1.18042,-0.137146,0.117552,RIGHT
1757572908115,1.65896,-0.790382,-0.0816759,RIGHT
1757572908115,1.95856,-1.53514,-0.132375,RIGHT
1757572908214,0.823425,2.40853,-0.0480972,LEFT
1757572908214,1.69139,-0.759504,-0.0803755,LEFT
1757572908214,2.84774,1.53159,-0.111905,LEFT
1757572908214,1.64777,1.52643,-0.0726247,RIGHT
1757572908214,1.91258,-1.5334,-0.13486,RIGHT
1757572908214,2.63855,-1.04673,-0.0971956,RIGHT
1757572908309,0.835085,2.42913,-0.0453501,LEFT
1757572908309,1.70261,-0.757131,-0.230893,LEFT
1757572908309,1.68551,1.52617,-0.103028,RIGHT
1757572908309,1.8997,-1.50147,-0.00207092,RIGHT
1757572908416,0.834968,2.43183,-0.0463137,LEFT
1757572908416,1.70782,-0.760431,-0.225524,LEFT
1757572908416,2.84627,1.51518,-0.111191,LEFT
1757572908416,1.64978,1.52905,-0.0923261,RIGHT
1757572908416,1.90437,-1.50227,-0.0653733,RIGHT
1757572908416,2.6574,-1.03321,-0.0975039,RIGHT
1757572908519,0.832651,2.43074,-0.0466163,LEFT
1757572908519,1.69394,-0.757914,-0.0831655,LEFT
1757572908519,2.84447,1.51073,-0.111483,LEFT
1757572908519,1.68477,1.52106,-0.0807504,RIGHT
1757572908519,1.94135,-1.53532,-0.13553,RIGHT
1757572908519,2.62927,-1.03313,-0.0974182,RIGHT
1757572908620,0.833752,2.42788,-0.0481305,LEFT
1757572908620,2.85613,1.51687,-0.111082,LEFT
1757572908620,1.64865,1.54447,-0.108087,RIGHT
1757572908620,1.66686,-0.759107,-0.0810015,RIGHT
1757572908723,1.6453,1.53558,-0.0948497,LEFT
1757572908723,2.84683,1.52439,-0.11059,LEFT
1757572908723,1.70006,-0.764639,-0.0810514,RIGHT
1757572908723,1.95183,-1.50361,-0.127412,RIGHT
1757572908819,0.837452,2.42498,-0.0445593,LEFT
1757572908819,1.64435,1.54223,-0.102949,LEFT
1757572908819,2.60887,-1.03196,-0.0981427,LEFT
1757572908819,-1.19304,-0.139064,0.105919,RIGHT
1757572908819,1.70832,-0.756894,-0.0816949,RIGHT
1757572908819,1.90439,-1.49799,0.0646331,RIGHT
1757572908931,0.834764,2.43636,-0.0475913,LEFT
1757572908931,1.69261,-0.758732,-0.229058,LEFT
1757572908931,2.84986,1.50918,-0.110651,LEFT
1757572908931,1.65347,1.52318,-0.0971351,RIGHT
1757572908931,1.86431,-1.50245,-0.127352,RIGHT
1757572908931,2.62244,-1.04522,-0.0971002,RIGHT
1757572909023,0.820483,2.43136,0.000522941,LEFT
1757572909023,1.12283,2.16712,-0.0421476,LEFT
1757572909023,1.70693,-0.758568,-0.226076,LEFT
1757572909023,2.86221,1.52913,-0.1676,LEFT
1757572909023,0.915462,2.03542,0.046971,RIGHT
1757572909023,1.64264,1.52119,-0.0944325,RIGHT
1757572909023,1.90503,-1.5004,-0.128673,RIGHT
1757572909023,2.60628,-1.03102,-0.0977771,RIGHT
1757572909121,1.68504,1.5205,-0.0965518,LEFT
1757572909121,2.64532,-1.02824,-0.101606,LEFT
1757572909121,1.65215,-0.756536,-0.230292,RIGHT
1757572909121,1.86485,-1.49847,0.0641495,RIGHT
1757572909222,0.839125,2.43169,-0.0472597,LEFT
1757572909222,1.68589,1.52099,-0.0808376,LEFT
1757572909222,1.65366,-0.757168,-0.227497,RIGHT
1757572909222,2.65105,-1.04254,-0.101929,RIGHT
1757572909324,1.646,1.54432,-0.098187,LEFT
